unit_id,original_error_id,source_id,source_image,source_set,topic_type,original_text,error_type,problem_description,recoverable_meaning,possible_future_use,selection_status,notes
U073,S37-E01,S37,37.jpg,main_40_candidate_bank,IELTS Task 1 map/plan description: Porth Harbour,"By briefly glancing at this two charts, the information that from the plans about Porth Harbour between from 2000 to today, is similared except some details.",idiomaticity or non-standard expression problem,"Multiple non-standard expressions occur, including 'this two charts', 'between from', and 'is similared'.","The two plans of Porth Harbour are generally similar, except for some details.",,selected_100,Strong non-standard expression candidate.
U074,S37-E02,S37,37.jpg,main_40_candidate_bank,IELTS Task 1 map/plan description: Porth Harbour,What notice changes are the number of dock for passenger ferries have rosen nearby the Marina in past.,grammar-related error,"The clause structure, subject-verb agreement, and verb form 'have rosen' are incorrect.",One noticeable change is that the number of docks for passenger ferries has increased near the marina.,,selected_100,Strong grammar candidate.
U075,S38-E01,S38,38.jpg,main_40_candidate_bank,IELTS Task 1 map/plan description: Porth Harbour,"By briefly glacing at this picture, it's apparent that the number of Dock was increased from 1 to 2.",grammar-related error,'Glacing' is a spelling error and 'was increased' is unnatural here.,The number of docks increased from one to two.,,selected_100,Good passive/verb candidate.
U076,S38-E02,S38,38.jpg,main_40_candidate_bank,IELTS Task 1 map/plan description: Porth Harbour,So There were allow more ships in this harbour.,grammar-related error,'There were allow' is an incorrect structure.,This allowed more ships to use the harbour.,,selected_100,Good there-be/causative candidate.
U077,S39-E01,S39,39.jpg,main_40_candidate_bank,IELTS Task 1 map/plan description: Porth Harbour,From this picture we can see the harbour's change from 2000 and today.,grammar-related error,'From 2000 and today' is an incorrect time comparison structure.,The picture shows how the harbour changed between 2000 and today.,,selected_100,Good between-and candidate.
U078,S39-E02,S39,39.jpg,main_40_candidate_bank,IELTS Task 1 map/plan description: Porth Harbour,"In 2000 they only have one duck, it's uncomfortable for ship to stay here.",lexical choice error,'Duck' is used instead of 'dock'; the sentence also has tense and count-noun problems.,"In 2000, there was only one dock, which was inconvenient for ships.",,selected_100,Good dock/duck lexical candidate.
U079,S40-E01,S40,40.jpg,main_40_candidate_bank,IELTS Task 1 map/plan description: Porth Harbour,The Porth Harbour is continuely developing so that there are many differences from 2000 to today and still some same places.,idiomaticity or non-standard expression problem,'Continuely' is misspelled and 'still some same places' is unnatural.,"Porth Harbour has continued to develop, with many changes between 2000 and today as well as some unchanged features.",,selected_100,Good non-standard overview candidate.
U080,S40-E02,S40,40.jpg,main_40_candidate_bank,IELTS Task 1 map/plan description: Porth Harbour,The dock is added too to make more fishing boats stopping here.,grammar-related error,'Is added too' and 'make...stopping' are unnatural structures.,Another dock was added to allow more fishing boats to stop there.,,selected_100,Good grammar/causative candidate.
U081,A41-E02,S41,41.jpg,additional_sentence_bank,map/plan description,"There are still have showers & toilets, car parks beside the Main Road.",grammar-related error,The sentence mixes 'there are' and 'have'; plural structure and listing are also unclear.,Showers and toilets and car parks are still located beside the main road.,there-be structure; existential construction,selected_100,
U082,A41-E03,S41,41.jpg,additional_sentence_bank,map/plan description,"Today, between the two car parks, a showers and toilets is added.",grammar-related error,The noun phrase and passive structure are incorrect: 'a showers and toilets is added'.,A shower and toilet facility has been added between the two car parks.,article-number agreement; passive structure,selected_100,
U083,A41-E04,S41,41.jpg,additional_sentence_bank,map/plan description,The address of Fishing boats and Marina is exchanges.,lexical choice error,'Address' and 'exchanges' are inappropriate for describing changes in the location of harbour facilities.,The positions of the fishing boats and marina have been exchanged.,location-change verbs; wrong lexical choice,selected_100,
U084,A41-E05,S41,41.jpg,additional_sentence_bank,map/plan description,The public beach is changed to be a private beach which is only devised for the hotel.,collocation problem,'Changed to be' and 'devised for the hotel' are unnatural collocations in this context.,The public beach has become a private beach for the hotel.,verb-object collocation; map change description,selected_100,
U085,A42-E01,S42,42.jpg,additional_sentence_bank,map/plan description,"By briefly glancing this two charts, the information that from the plans about Porth Harbour between from 2000 to today, is similared except some details.",idiomaticity or non-standard expression problem,"Multiple non-standard expressions occur, including 'glancing this two charts', 'between from', and 'is similared'.","The two plans of Porth Harbour are generally similar, except for some details.",non-standard introductory phrases; comparative overview,selected_100,
U086,A42-E02,S42,42.jpg,additional_sentence_bank,map/plan description,What notical changes are the number of dock for passenger ferries have rosen nearby the Marina.,grammar-related error,"The clause structure, subject-verb agreement, and verb form 'have rosen' are incorrect.",One noticeable change is that the number of docks for passenger ferries has increased near the marina.,relative/nominal clause structure; irregular verb form,selected_100,
U087,A42-E03,S42,42.jpg,additional_sentence_bank,map/plan description,"And then, the harbour occupation also has been shifted between Marina and Fishing boats.",lexical choice error,'Harbour occupation' is not an appropriate phrase for the layout or position of harbour facilities.,The positions of the marina and fishing boats have been changed.,noun choice; map layout vocabulary,selected_100,
U088,A42-E04,S42,42.jpg,additional_sentence_bank,map/plan description,"When comparing the detail of two graphs, we find some new space has been used.",idiomaticity or non-standard expression problem,'The detail of two graphs' and 'some new space has been used' are vague and unnatural.,A comparison of the two plans shows that some areas have been newly developed or used.,vague map-description wording,selected_100,
U089,A43-E02,S43,43.jpg,additional_sentence_bank,map/plan description,So There were allow more ships in this harbour.,grammar-related error,'There were allow' is an incorrect structure.,This allowed more ships to use the harbour.,causative structure; there-be error,selected_100,
U090,A43-E03,S43,43.jpg,additional_sentence_bank,map/plan description,On the west of it. There was a cafes and shops.,cohesion problem,"The sentence is fragmented, and 'a cafes and shops' has article-number disagreement.",There were cafes and shops to the west of it.,sentence fragments; article-number agreement,selected_100,
U091,A43-E04,S43,43.jpg,additional_sentence_bank,map/plan description,It's the first place that allow people to eating or drinking.,grammar-related error,"The verb form after 'allow people to' should be a base verb, not a gerund.",It is a place that allows people to eat or drink.,verb pattern: allow someone to do,selected_100,
U092,A44-E01,S44,44.jpg,additional_sentence_bank,map/plan description,From this picture we can see the harbour's change from 2000 and today.,grammar-related error,'From 2000 and today' is an incorrect time comparison structure.,The picture shows how the harbour changed between 2000 and today.,between-and structure; map comparison,selected_100,
U093,A44-E02,S44,44.jpg,additional_sentence_bank,map/plan description,"In 2000 they only have one duck, it's uncomfortable for ship to stay here.",lexical choice error,'Duck' appears to be used instead of 'dock'; the sentence also has tense and count-noun problems.,"In 2000, there was only one dock, which was inconvenient for ships.",lexical confusion: dock/duck; comma splice,selected_100,
U094,A44-E03,S44,44.jpg,additional_sentence_bank,map/plan description,Today this place deliver two Donck's for ship to stay there.,lexical choice error,'Deliver' and 'Donck's' are inappropriate; the intended word is likely 'docks'.,"Today, this place has two docks for ships.",wrong verb choice; facility description,selected_100,
U095,A44-E04,S44,44.jpg,additional_sentence_bank,map/plan description,They can take the ship stop in the same area It's clearly.,idiomaticity or non-standard expression problem,'Take the ship stop' and 'It's clearly' are non-standard and difficult to integrate into a clear sentence.,"Ships can stop in the same area, which is clear from the map.",non-standard phrasing; sentence boundary problem,selected_100,
U096,A44-E05,S44,44.jpg,additional_sentence_bank,map/plan description,They increase a shower's toilet and change the castle to be a hotel and make the public beach to be the hotel private beach.,cohesion problem,"Several changes are compressed into one sentence, with unnatural verbs and noun phrases.","Showers and toilets were added, the castle became a hotel, and the public beach became a private beach for the hotel.",overloaded sentence; map-change verb choices,selected_100,
U097,A45-E01,S45,45.jpg,additional_sentence_bank,argument writing sentence,"The experiment cost my country a lots of money, but it can't provide benefit for person, and it always launches explosion like playing firework.",collocation problem,"Several collocations are unnatural, including 'a lots of money', 'provide benefit for person', and 'launches explosion like playing firework'.","Space experiments cost a lot of money but may not bring direct benefits to people, and explosions may look like fireworks.",money/benefit collocations; simile expression,selected_100,Useful for a future paper on collocation and argument writing.
U098,A46-E01,S46,46.jpg,additional_sentence_bank,argument writing sentence,"Although my country spends many money on space experiment every year, but it couldn't brings exist benefits to residents, instead of bomb a like make fire-work.",grammar-related error,"The sentence contains multiple grammar and collocation problems, including 'many money', although-but structure, 'brings exist benefits', and non-standard explosion/firework phrasing.","Although the country spends a lot on space experiments, they do not bring real benefits to residents and may resemble fireworks.",although-but structure; money/benefit collocations,selected_100,Original wording is partially unclear; preserved as closely as possible.
U099,A47-E01,S47,47.jpg,additional_sentence_bank,argument writing sentence,"Every year, my country not only spends a lot of money to make the space experiment and brings no benefit for people, but also it always show the explosion like playing firework.",collocation problem,"'Make the space experiment', 'brings no benefit for people', and 'show the explosion like playing firework' are unnatural collocations or patterns.","The country spends a lot of money on space experiments every year, but they bring few benefits and often look like fireworks.",not only-but also structure; benefit collocation,selected_100,
U100,A48-E01,S48,48.jpg,additional_sentence_bank,argument writing sentence,"Although my country spends huge amount money on the space test every year, the space test will not bring actual benefits to people and always occurs explosion like playing firework.",collocation problem,"'Huge amount money', 'space test', 'occurs explosion', and 'playing firework' are unnatural collocations.","Although the country spends a large amount of money on space tests every year, they do not bring actual benefits to people and often cause explosions like fireworks.",amount/money collocation; cause/occur explosion; benefit collocation,selected_100,
